adapter_enabled,adapter_mode,checkpoint_path,checkpoint_root,dataset,eval_shot,experiment_name,false_negative,false_negative_rate,false_positive,false_positive_rate,image_aupr,image_auroc,image_f1,loss_settings,macro_image_aupr,macro_image_auroc,metadata_path,n_samples,pixel_aupr,pixel_auroc,pixel_f1,pixel_metrics_available,pro,threshold,train_dataset,train_shot,training_strategy,true_negative,true_positive,zero_init
True,global_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/2/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,elpv,2,InCTRL_trained_on_MVTec_VA_ablation/global_only/2-shot,94,0.13146853146853146,189,0.5013262599469496,0.8979815735141563,0.8038915991170632,0.8144262295081968,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.8979815735141563,0.8038915991170632,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/2/metadata.json,1092,,,,False,,0.1876310259103775,mvtec,2,mvtec_va_ablation,188,621,True
True,global_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/2/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,visa,2,InCTRL_trained_on_MVTec_VA_ablation/global_only/2-shot,119,0.09916666666666667,587,0.6101871101871101,0.7982042931774633,0.7504755717255718,0.7538354253835425,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.7955350950604938,0.7719826457645764,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/2/metadata.json,2162,,,,False,,0.12151302397251129,mvtec,2,mvtec_va_ablation,375,1081,True
True,global_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/4/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,aitex,4,InCTRL_trained_on_MVTec_VA_ablation/global_only/4-shot,70,0.3783783783783784,155,0.274822695035461,0.4965408132781547,0.7277937511980066,0.5054945054945055,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.4965408132781547,0.7277937511980066,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/4/metadata.json,749,,,,False,,0.16510218381881714,mvtec,4,mvtec_va_ablation,409,115,True
True,global_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/4/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,elpv,4,InCTRL_trained_on_MVTec_VA_ablation/global_only/4-shot,38,0.05314685314685315,267,0.7082228116710876,0.8864021374400792,0.7815770436460092,0.8161543098251959,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.8864021374400792,0.7815770436460092,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/4/metadata.json,1092,,,,False,,0.15614911913871765,mvtec,4,mvtec_va_ablation,110,677,True
True,global_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/4/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,visa,4,InCTRL_trained_on_MVTec_VA_ablation/global_only/4-shot,133,0.11083333333333334,540,0.5613305613305614,0.81765412423931,0.7684312196812196,0.760242251514072,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.7959306439698232,0.7771245324532453,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/4/metadata.json,2162,,,,False,,0.1314028799533844,mvtec,4,mvtec_va_ablation,422,1067,True
True,global_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/8/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,aitex,8,InCTRL_trained_on_MVTec_VA_ablation/global_only/8-shot,76,0.41081081081081083,133,0.23581560283687944,0.49039330398231396,0.7449492045236726,0.5105386416861827,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.49039330398231396,0.7449492045236726,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/8/metadata.json,749,,,,False,,0.4036616384983063,mvtec,8,mvtec_va_ablation,431,109,True
True,global_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/8/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,elpv,8,InCTRL_trained_on_MVTec_VA_ablation/global_only/8-shot,39,0.05454545454545454,252,0.6684350132625995,0.8772079701258437,0.7756598838826956,0.82288496652465,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.8772079701258437,0.7756598838826956,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/8/metadata.json,1092,,,,False,,0.1544920802116394,mvtec,8,mvtec_va_ablation,125,676,True
True,global_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/8/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,visa,8,InCTRL_trained_on_MVTec_VA_ablation/global_only/8-shot,74,0.06166666666666667,677,0.7037422037422038,0.8179268355156586,0.7613963963963964,0.74991674991675,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.799180381402203,0.7744006325632564,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/global_only/8/metadata.json,2162,,,,False,,0.1354689747095108,mvtec,8,mvtec_va_ablation,285,1126,True
True,local_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,aitex,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,105,0.5675675675675675,48,0.0851063829787234,0.5775631342392329,0.6901667625071881,0.5111821086261981,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.5775631342392329,0.6901667625071881,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/metadata.json,749,,,,False,,0.6562566757202148,mvtec,2,mvtec_va_ablation,516,80,True
True,local_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,elpv,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,10,0.013986013986013986,349,0.9257294429708223,0.82784162827323,0.7126337853128304,0.7970604861503674,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.82784162827323,0.7126337853128304,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/metadata.json,1092,,,,False,,0.018202802166342735,mvtec,2,mvtec_va_ablation,28,705,True
True,local_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,visa,2,InCTRL_trained_on_MVTec_VA_ablation/local_only/2-shot,13,0.010833333333333334,913,0.9490644490644491,0.7643553591655275,0.678031878031878,0.7193939393939394,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.7781408711134735,0.7049584708470847,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/2/metadata.json,2162,,,,False,,0.012977994047105312,mvtec,2,mvtec_va_ablation,49,1187,True
True,local_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/4/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,aitex,4,InCTRL_trained_on_MVTec_VA_ablation/local_only/4-shot,104,0.5621621621621622,73,0.12943262411347517,0.5483968055539986,0.6674429748897833,0.4778761061946903,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.5483968055539986,0.6674429748897833,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/4/metadata.json,749,,,,False,,0.6557600498199463,mvtec,4,mvtec_va_ablation,491,81,True
True,local_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/4/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,elpv,4,InCTRL_trained_on_MVTec_VA_ablation/local_only/4-shot,5,0.006993006993006993,348,0.9230769230769231,0.8147757928905872,0.6912986218026006,0.8009024252679074,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.8147757928905872,0.6912986218026006,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/4/metadata.json,1092,,,,False,,0.028848115354776382,mvtec,4,mvtec_va_ablation,29,710,True
True,local_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/4/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,visa,4,InCTRL_trained_on_MVTec_VA_ablation/local_only/4-shot,6,0.005,933,0.9698544698544699,0.7780816293993315,0.6961564449064449,0.7177637511271415,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.7793098724192999,0.7139142464246425,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/4/metadata.json,2162,,,,False,,0.020344356074929237,mvtec,4,mvtec_va_ablation,29,1194,True
True,local_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/8/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,aitex,8,InCTRL_trained_on_MVTec_VA_ablation/local_only/8-shot,105,0.5675675675675675,60,0.10638297872340426,0.5452813622119729,0.689179605137052,0.49230769230769234,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.5452813622119729,0.689179605137052,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/8/metadata.json,749,,,,False,,0.6712186336517334,mvtec,8,mvtec_va_ablation,504,80,True
True,local_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/8/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,elpv,8,InCTRL_trained_on_MVTec_VA_ablation/local_only/8-shot,17,0.023776223776223775,339,0.8992042440318302,0.8410618431959047,0.7041754001966204,0.7968036529680366,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.8410618431959047,0.7041754001966204,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/8/metadata.json,1092,,,,False,,0.04460491985082626,mvtec,8,mvtec_va_ablation,38,698,True
True,local_only,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/8/checkpoint,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation,visa,8,InCTRL_trained_on_MVTec_VA_ablation/local_only/8-shot,13,0.010833333333333334,912,0.9480249480249481,0.7717476198372233,0.6924393624393624,0.7196120036374659,BinaryFocalLoss(final_score)+BinaryFocalLoss(img_ref_score),0.7856604336266563,0.7182065731573157,/root/InCTRL/checkpoints/InCTRL_trained_on_MVTec_VA_ablation/local_only/8/metadata.json,2162,,,,False,,0.03294063359498978,mvtec,8,mvtec_va_ablation,50,1187,True
