model,train_dataset,test_dataset,shot,seed,category,auroc,aupr
mvtec_va_ta_pqa_4shot,mvtec,visa,4,123,pcb1,0.8345,0.8558
mvtec_va_ta_pqa_4shot,mvtec,visa,4,123,pcb2,0.7863,0.8136
mvtec_va_ta_pqa_4shot,mvtec,visa,4,123,pcb3,0.8351,0.8428
mvtec_va_ta_pqa_4shot,mvtec,visa,4,123,pcb4,0.9198,0.9087
mvtec_va_ta_pqa_4shot,mvtec,visa,4,123,pipe_fryum,0.9898,0.9947
mvtec_va_ta_pqa_4shot,mvtec,visa,4,7,candle,0.9692,0.9715
mvtec_va_ta_pqa_4shot,mvtec,visa,4,7,capsules,0.863,0.9273
mvtec_va_ta_pqa_4shot,mvtec,visa,4,7,cashew,0.9474,0.977
mvtec_va_ta_pqa_4shot,mvtec,visa,4,7,chewinggum,0.9766,0.9903
mvtec_va_ta_pqa_4shot,mvtec,visa,4,7,fryum,0.9502,0.9789
mvtec_va_ta_pqa_4shot,mvtec,visa,4,7,macaroni1,0.858,0.87
mvtec_va_ta_pqa_4shot,mvtec,visa,4,7,macaroni2,0.788,0.7799
mvtec_va_ta_pqa_4shot,mvtec,visa,4,7,pcb1,0.7981,0.82
mvtec_va_ta_pqa_4shot,mvtec,visa,4,7,pcb2,0.7631,0.7834
mvtec_va_ta_pqa_4shot,mvtec,visa,4,7,pcb3,0.8569,0.8645
mvtec_va_ta_pqa_4shot,mvtec,visa,4,7,pcb4,0.9061,0.8919
mvtec_va_ta_pqa_4shot,mvtec,visa,4,7,pipe_fryum,0.9878,0.9935
mvtec_va_ta_pqa_4shot,mvtec,aitex,4,42,AITEX,0.8006,0.557
mvtec_va_ta_pqa_4shot,mvtec,aitex,4,123,AITEX,0.8001,0.5402
mvtec_va_ta_pqa_4shot,mvtec,aitex,4,7,AITEX,0.7989,0.5502
mvtec_va_ta_pqa_4shot,mvtec,elpv,4,42,elpv,0.8707,0.9389
mvtec_va_ta_pqa_4shot,mvtec,elpv,4,123,elpv,0.8744,0.9405
mvtec_va_ta_pqa_4shot,mvtec,elpv,4,7,elpv,0.8666,0.9365
mvtec_va_ta_pqa_8shot,mvtec,visa,8,42,candle,0.9749,0.9773
mvtec_va_ta_pqa_8shot,mvtec,visa,8,42,capsules,0.8858,0.9379
mvtec_va_ta_pqa_8shot,mvtec,visa,8,42,cashew,0.9634,0.984
mvtec_va_ta_pqa_8shot,mvtec,visa,8,42,chewinggum,0.9768,0.9905
mvtec_va_ta_pqa_8shot,mvtec,visa,8,42,fryum,0.9456,0.9773
mvtec_va_ta_pqa_8shot,mvtec,visa,8,42,macaroni1,0.8691,0.8863
mvtec_va_ta_pqa_8shot,mvtec,visa,8,42,macaroni2,0.7988,0.8112
mvtec_va_ta_pqa_8shot,mvtec,visa,8,42,pcb1,0.8393,0.8615
mvtec_va_ta_pqa_8shot,mvtec,visa,8,42,pcb2,0.8202,0.8286
mvtec_va_ta_pqa_8shot,mvtec,visa,8,42,pcb3,0.8758,0.883
mvtec_va_ta_pqa_8shot,mvtec,visa,8,42,pcb4,0.9373,0.9268
mvtec_va_ta_pqa_8shot,mvtec,visa,8,42,pipe_fryum,0.9958,0.998
mvtec_va_ta_pqa_8shot,mvtec,visa,8,123,candle,0.973,0.9754
mvtec_va_ta_pqa_8shot,mvtec,visa,8,123,capsules,0.8738,0.9328
mvtec_va_ta_pqa_8shot,mvtec,visa,8,123,cashew,0.9676,0.9852
mvtec_va_ta_pqa_8shot,mvtec,visa,8,123,chewinggum,0.9792,0.9912
mvtec_va_ta_pqa_8shot,mvtec,visa,8,123,fryum,0.9402,0.9751
mvtec_va_ta_pqa_8shot,mvtec,visa,8,123,macaroni1,0.8747,0.8856
mvtec_va_ta_pqa_8shot,mvtec,visa,8,123,macaroni2,0.8025,0.8229
mvtec_va_ta_pqa_8shot,mvtec,visa,8,123,pcb1,0.8339,0.8572
